epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,788.477,0.68124,0.95238,0.99883,0.14385,0.00333192,0.00333192,0.00333192
2,1693.95,0.21344,0.97571,0.99968,0.07079,0.00653328,0.00653328,0.00653328
3,2391.27,0.18597,0.96097,0.99979,0.12139,0.00960264,0.00960264,0.00960264
4,3197.62,0.2165,0.97794,0.99979,0.06479,0.009406,0.009406,0.009406
5,3870.07,0.16357,0.97953,0.99979,0.05916,0.009208,0.009208,0.009208
6,4684.98,0.13915,0.98409,0.99989,0.04736,0.00901,0.00901,0.00901
7,5761.72,0.12839,0.98674,1,0.04382,0.008812,0.008812,0.008812
8,6656.33,0.11623,0.98568,1,0.04891,0.008614,0.008614,0.008614
9,7277.62,0.10504,0.98696,0.99989,0.03931,0.008416,0.008416,0.008416
10,7880.54,0.10472,0.98865,1,0.03485,0.008218,0.008218,0.008218
11,8508.11,0.09929,0.98897,0.99989,0.03355,0.00802,0.00802,0.00802
12,9132.95,0.09805,0.98992,1,0.03498,0.007822,0.007822,0.007822
13,9752.76,0.0864,0.98939,0.99989,0.03282,0.007624,0.007624,0.007624
14,10728.1,0.09317,0.99003,1,0.03181,0.007426,0.007426,0.007426
15,12686,0.08507,0.99258,1,0.02352,0.007228,0.007228,0.007228
16,13910.7,0.08647,0.99247,1,0.02433,0.00703,0.00703,0.00703
17,14513.5,0.08476,0.99226,1,0.0228,0.006832,0.006832,0.006832
18,15115.4,0.07851,0.99332,1,0.01979,0.006634,0.006634,0.006634
19,15718.3,0.07626,0.99342,1,0.02069,0.006436,0.006436,0.006436
20,16321.2,0.07122,0.99364,1,0.01951,0.006238,0.006238,0.006238
21,16924.2,0.0762,0.99427,1,0.01879,0.00604,0.00604,0.00604
22,17522,0.07371,0.99417,1,0.02058,0.005842,0.005842,0.005842
23,18119.4,0.07017,0.99417,1,0.02007,0.005644,0.005644,0.005644
24,18716.2,0.06218,0.99427,1,0.02044,0.005446,0.005446,0.005446
25,19444.6,0.05884,0.99449,1,0.02011,0.005248,0.005248,0.005248
26,20054.5,0.05489,0.99427,1,0.01987,0.00505,0.00505,0.00505
27,20652.6,0.04717,0.99449,1,0.01946,0.004852,0.004852,0.004852
28,21250.2,0.04866,0.99449,1,0.01932,0.004654,0.004654,0.004654
29,21848.7,0.04915,0.99459,1,0.0191,0.004456,0.004456,0.004456
30,22446.1,0.04758,0.99449,1,0.019,0.004258,0.004258,0.004258
31,23043,0.04025,0.9947,1,0.01865,0.00406,0.00406,0.00406
32,23639.3,0.04109,0.99449,1,0.01921,0.003862,0.003862,0.003862
33,24237.6,0.03625,0.9947,1,0.0186,0.003664,0.003664,0.003664
34,24835.7,0.03682,0.9948,1,0.01855,0.003466,0.003466,0.003466
35,25432.9,0.03411,0.9948,1,0.01825,0.003268,0.003268,0.003268
36,26030.5,0.03105,0.99491,1,0.01801,0.00307,0.00307,0.00307
37,26627.3,0.02732,0.99491,1,0.01772,0.002872,0.002872,0.002872
38,27225,0.02185,0.99491,1,0.01762,0.002674,0.002674,0.002674
39,27822.8,0.01963,0.99502,1,0.01749,0.002476,0.002476,0.002476
40,28421.1,0.02019,0.99502,1,0.01727,0.002278,0.002278,0.002278
41,29018.1,0.01871,0.99491,1,0.01711,0.00208,0.00208,0.00208
42,29616.6,0.01587,0.99502,1,0.01698,0.001882,0.001882,0.001882
43,30214,0.01556,0.99491,1,0.01683,0.001684,0.001684,0.001684
44,30812.2,0.01298,0.99502,1,0.01667,0.001486,0.001486,0.001486
45,31411.5,0.01177,0.99523,1,0.01656,0.001288,0.001288,0.001288
46,32010.7,0.00975,0.99512,1,0.01644,0.00109,0.00109,0.00109
47,32609.3,0.00997,0.99523,1,0.01638,0.000892,0.000892,0.000892
48,33207,0.01016,0.99533,1,0.01634,0.000694,0.000694,0.000694
49,33806.2,0.00848,0.99523,1,0.01634,0.000496,0.000496,0.000496
50,34404.2,0.00819,0.99523,1,0.01634,0.000298,0.000298,0.000298
